Movie Title,tmdb_popularity,imdbRating,Unnamed: 3,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,TwitterScore,Budget,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Revenue-Worldwide,Profit,Verdict
Mrs. Brown's Boys D'Movie,6.178,4.2,,,1.38,0.6,2.7792,40.625,5900000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31116264,4.273943051,hit
Stand by Me Doraemon,106.922,7.4,,48.375,,,8.4048,15.38461538,35000000.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183442714,4.2412204,hit
Shin Godzilla,23.369,6.8,,34.625,,,7.3246,28.79256966,15000000.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,77947607,4.196507133,hit
Kundo: Age of the Rampant,9.697,6.8,,38.75,2.587,0.6,11.1444,99.0881459,7000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35941291,4.134470143,hit
Project Gutenberg,10.559,6.8,,62.5,,,10.0858,70.77363897,38272500.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,188116796,3.915194879,hit
"I, Tonya",25.403,7.5,,41.25,,,22.2464,39.15243517,11000000.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53939297,3.903572455,hit
Serial (Bad) Weddings 2,17.851,6.1,,,3.379,1.327,4.917,,18500000.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87761857,3.743884162,hit
P Storm,20.102,5.9,,23.625,8.529,,9.6328,12.94117647,25000000.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117991727,3.71966908,hit
Tad: The Lost Explorer,52.658,5.9,,,2.563,1.86725,2.977,-44.68085106,10500000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49490859,3.713415143,hit
From Vegas to Macau III,9.561,2.3,,42.0,,4.352333333,15.1612,35.06493506,40000000.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181732879,3.543321975,hit
